institution,type,doi,photo_article_title,photo_journal_title,photo_journal_volume,photo_journal_issue,photo_journal_year,photo_journal_inclusive_pages,photo_article_author,transaction_status,transaction_date,issn,base_fee,lending_library,reason_for_cancellation,call_number,location,maxcost,document_type,system_id,ifm_cost,copyright_payment_method,ccc_number,copyright_comp,article_title,journal_title,volume,issue,year,pages,article_author,x_1,cited_in,creation_date,photo_item_publisher,notes_on_access,notes,randon_number_generator,journal_volume,journal_issue,journal_year,journal_inclusive_pages,status,doi_input,doi_present,oabutton_query,oabutton_queryname,oabutton_match,oabutton_url,oabutton_type,oabutton_source,oabutton_title,oabutton_oa_result
pacific,borrow,10.1007/BF01410871,Attitudes toward the mentally ill and community care among professionals and their students,Community mental health journal.,9,4,1973,350-,"Mangum, Paul D",Request Finished,42848.30030150463,0010-3853,NA,OSO,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/BF01410871,1,10.1007/BF01410871,doi,https://doi.org/10.1007/BF01410871,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/BF02211841,Austism diagnostic observation schedule: A standardized observation of communicative and social behavior,Journal of autism and developmental disorders.,19,2,1989,185-,"Lord, Catherine",Request Finished,42752.31125096064,0162-3257,NA,akc,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/BF02211841,1,10.1007/BF02211841,doi,https://doi.org/10.1007/BF02211841,https://www.egms.de/static/en/journals/psm/2010-7/psm000065.shtml,article,base,NA,oa_found
pacific,borrow,10.1007/s0059,"The donor advocacy team: a risk management program for living organ, tissue, and cell transplant donors.",Surgery today : the Japanese journal of surgery.,EPUB,EPUB,2017,1-6,"Eguchi, S., Soyama, A., Nagai, K. et al.",Request Finished,42889.31016299768,1436-2813,NA,NSCQHE,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s0059,1,10.1007/s0059,doi,https://doi.org/10.1007/s0059,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/s10339-013-0563-3,Electroencephalography when meditation advances: a case-base,Cognitive processing.,14,4,2013,371-6,Tsai JF;Jou SH;Cho W;Lin CM,Request Finished,42721.481354166666,1612-4782,NA,NYUMSK,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s10339-013-0563-3,1,10.1007/s10339-013-0563-3,doi,https://doi.org/10.1007/s10339-013-0563-3,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/s1182,Not all droughts are created equal? The effects of stress severity on insect herbivore abundance,Arthropod-plant interactions.,11,1,2017,45-,"Sconiers, Warren B",Request Finished,42894.575578703705,1872-8855,NA,ERE,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s1182,1,10.1007/s1182,doi,https://doi.org/10.1007/s1182,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/s11883-013-0388-7,How low an LDL-C should we go with statin therapy?,Current atherosclerosis reports.,16,2,2014,388,Kostis WJ,Request Finished,42743.31284293981,1534-6242,NA,NSCQHE,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s11883-013-0388-7,1,10.1007/s11883-013-0388-7,doi,https://doi.org/10.1007/s11883-013-0388-7,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/s11896-014-9144-3,"Behind the confession: Relating false confession, interrogative compliance, personality traits, and psychopathy.",Journal of police and criminal psychology.,30,2,2015,94-,"Larmour,",Request Finished,42765.33216940972,0882-0783,NA,FHM,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s11896-014-9144-3,1,10.1007/s11896-014-9144-3,doi,https://doi.org/10.1007/s11896-014-9144-3,https://derby.openrepository.com/derby/bitstream/10545/621286/3/Bergstorm_2014_Behind-the-confession_accepted_manuscript.pdf,article,oadoi,NA,oa_found
pacific,borrow,10.1007/s12020-014-0496-3,Diabetes mellitus and oral health.,Endocrine.,49,1,2015,27-34,Kudiyirickal MG;Pappachan JM,Request Finished,42933.32758660879,1355-008X,NA,KYUNKC,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s12020-014-0496-3,1,10.1007/s12020-014-0496-3,doi,https://doi.org/10.1007/s12020-014-0496-3,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/s4061,"Colorectal Cancer Screening among Chinese, Cambodian, and Vietnamese Immigrants in Chicago.",Journal of racial and ethnic health disparities.,2,4,2015,473-,"Kim, Karen",Request Finished,42756.33316003472,2196-8837,NA,MDUNLM,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s4061,1,10.1007/s4061,doi,https://doi.org/10.1007/s4061,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/0006-8993(79)90950-8,"Inverted vision causes selective loss of striate cortex neurons with binocular, vertically oriented receptive fields.",Brain research.,170,1,1979,177-,"Singer, W",Request Finished,42763.31930034722,0006-8993,NA,ORE,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/0006-8993(79)90950-8,1,10.1016/0006-8993(79)90950-8,doi,https://doi.org/10.1016/0006-8993(79)90950-8,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/0012-1606(91)90340-9,Fiber regeneration is not persistent in dystrophic (MDX) mouse skeletal muscle.,Developmental biology.,148,1,1991,314-,"DIMARIO, JX",Request Finished,42694.33342103009,0012-1606,NA,BMU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/0012-1606(91)90340-9,1,10.1016/0012-1606(91)90340-9,doi,https://doi.org/10.1016/0012-1606(91)90340-9,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/0022-2313(84)90047-4,The intensity of triboluminescence,Journal of luminescence.,29,1,1984,119-122,"William Beese, Jeffrey I. Zink",Delivered to Web,42914.45023591435,NA,NA,JNA,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/0022-2313(84)90047-4,1,10.1016/0022-2313(84)90047-4,doi,https://doi.org/10.1016/0022-2313(84)90047-4,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/j.acn.2007.01.013,"Neuropsychological assessment of persons with physical disability, visual impairment or blindness, and hearing impairment or deafness.",Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists.,22,3,2007,389-,"Hill-Briggs,",Request Finished,42876.32243414352,0887-6177,NA,FLT,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.acn.2007.01.013,1,10.1016/j.acn.2007.01.013,doi,https://doi.org/10.1016/j.acn.2007.01.013,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/j.cmi.2016.06.013,Molecular quantification of bacteria from respiratory samples in patients with suspected ventilator-associated pneumonia,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases.,EPUB,NA,2016,EPUB,"Clavel, Marc",Request Finished,42659.312697800924,1198-743X,NA,MBCFLI,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.cmi.2016.06.013,1,10.1016/j.cmi.2016.06.013,doi,https://doi.org/10.1016/j.cmi.2016.06.013,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/j.cub.2012.03.023,Long-term memory for affiliates in ravens.,Current biology : CB.,22,9,2012,801-,"Boeckle, Markus",Request Finished,42718.32521111111,1879-0445,NA,OA,NA,NA,PUBLISHER WEBSITE,NA,Article,OTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.cub.2012.03.023,1,10.1016/j.cub.2012.03.023,doi,https://doi.org/10.1016/j.cub.2012.03.023,http://europepmc.org/articles/PMC3348500,article,eupmc,NA,oa_found
pacific,borrow,10.1016/j.encep.2009.10.009,[Patient satisfaction regarding further telephone contact fo,Encephale,36 Suppl 2,NA,2010,D7-D13,Gruat G;Cottencin O;Ducrocq F;Duhem S;Vaiva G,Delivered to Web,42914.50443475694,0013-7006,NA,PQCHLF,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.encep.2009.10.009,1,10.1016/j.encep.2009.10.009,doi,https://doi.org/10.1016/j.encep.2009.10.009,https://repository.library.georgetown.edu/handle/10822/1022770,article,base,NA,oa_found
pacific,borrow,10.1016/j.jfo.2016.04.001,Relationships between macular pigment optical density and la,Journal français d'ophtalmologie.,39,7,2016,615-21,Benoudis L;Ingrand P;Jeau J;Lichtwitz O;Boissonnot M;Levezie,Request Finished,42896.32996461805,NA,NA,pqccdm,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.jfo.2016.04.001,1,10.1016/j.jfo.2016.04.001,doi,https://doi.org/10.1016/j.jfo.2016.04.001,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/j.jhsb.2004.02.008,The two-point discrimination test – time for a re-appraisal?,The journal of hand surgery : journal of the British Society for Surgery of the Hand.,29,5,2004,418-422,Lundborg G & Rosen B,Request Finished,42630.299104398146,0266-7681,NA,UAA,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.jhsb.2004.02.008,1,10.1016/j.jhsb.2004.02.008,doi,https://doi.org/10.1016/j.jhsb.2004.02.008,https://lup.lub.lu.se/search/publication/127700,article,base,NA,oa_found
pacific,borrow,10.1016/j.jsxm.2016.05.009,Gender Dysphoria and Social Anxiety: An Exploratory Study in,The journal of sexual medicine.,13,8,2016,1270-8,Bergero-Miguel T;García-Encinas MA;Villena-Jimena A;Pérez-Co,Request Finished,42851.324442094905,1743-6095,NA,DCUGTU,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.jsxm.2016.05.009,1,10.1016/j.jsxm.2016.05.009,doi,https://doi.org/10.1016/j.jsxm.2016.05.009,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/j.jtho.2016.05.022,Adjuvant Chemotherapy for Patients with T2N0M0 NSCLC.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer.,11,10,2016,1729-,"Morgensztern, Daniel",Delivered to Web,42914.539893946756,1556-0864,NA,FHM,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.jtho.2016.05.022,1,10.1016/j.jtho.2016.05.022,doi,https://doi.org/10.1016/j.jtho.2016.05.022,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC5141602&blobtype=pdf,article,eupmc,NA,oa_found
pacific,borrow,10.1016/S0002-9343(88)80086-X,Effect of various therapeutic approaches on plasma potassium and major regulating factors in terminal renal failure.,The American journal of medicine.,85,4,1988,507-,"Blumberg, A",Request Finished,42913.293240046296,0002-9343,NA,MZF,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0002-9343(88)80086-X,1,10.1016/S0002-9343(88)80086-X,doi,https://doi.org/10.1016/S0002-9343(88)80086-X,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/S0003-3472(81)80003-6,Song learning and social interaction in indigo buntings,Animal behaviour.,29,3,1981,688-,"Payne, Robert B",Request Finished,42844.32834065972,0003-3472,NA,CTU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0003-3472(81)80003-6,1,10.1016/S0003-3472(81)80003-6,doi,https://doi.org/10.1016/S0003-3472(81)80003-6,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/S0020-1693(00)95893-6,Hidrido-complexes of iron(IV) and iron(II),Journal of organometallic chemistry.,5,NA,1971,115-,"Aresta, M",Request Finished,42744.3043934375,0020-1693,NA,ORE,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0020-1693(00)95893-6,1,10.1016/S0020-1693(00)95893-6,doi,https://doi.org/10.1016/S0020-1693(00)95893-6,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/S0021-9673(01)83859-0,Determination of residual epichlorohydrin and 3-chloropropanediol in water by gas chromatography with electron-capture detection,Journal of chromatography.,439,2,1988,448-452,"Pesselman,",Request Finished,42897.295484456015,0021-9673,NA,ICU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0021-9673(01)83859-0,1,10.1016/S0021-9673(01)83859-0,doi,https://doi.org/10.1016/S0021-9673(01)83859-0,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/S0197-2456(05)80019-4,Reproducibility and responsiveness of health status measures. Statistics and strategies for evaluation,Controlled clinical trials.,12,4,1991,142S–158S,"Deyo, R.A., Diehr, P., Patrick, D.L.,",Request Finished,42883.71774305555,NA,NA,ORZ,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0197-2456(05)80019-4,1,10.1016/S0197-2456(05)80019-4,doi,https://doi.org/10.1016/S0197-2456(05)80019-4,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/S0733-8635(05)70363-6,Melkersson-Rosenthal syndrome and orofacial granulomatosis.,Dermatologic clinics.,14,2,1996,371-379,"Rogers, R S",Request Finished,42667.31027797454,0733-8635,NA,PHU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0733-8635(05)70363-6,1,10.1016/S0733-8635(05)70363-6,doi,https://doi.org/10.1016/S0733-8635(05)70363-6,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1016/S2213-8587(13)70088-3,Dementia and cognitive decline in type 2 diabetes and predia,The lancet. Diabetes & endocrinology.,2,3,2014,246-55,Biessels GJ;Strachan MW;Visseren FL;Kappelle LJ;Whitmer RA,Request Finished,42781.767233796294,22138587,NA,PRUZRC,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S2213-8587(13)70088-3,1,10.1016/S2213-8587(13)70088-3,doi,https://doi.org/10.1016/S2213-8587(13)70088-3,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1017/BrImp.2015.27,The invisible problem: The incidence of olfactory impairment following traumatic brain injury.,Brain impairment : a multidisciplinary journal of the Australian Society for the Study of Brain Impairment.,16,3,2015,196-,"Drummond,",Request Finished,42680.31496145833,1443-9646,NA,NTE,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1017/BrImp.2015.27,1,10.1017/BrImp.2015.27,doi,https://doi.org/10.1017/BrImp.2015.27,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1017/S0033291700009934,Clinical applications of visual analogue scales: a critical review.,Psychological medicine.,18,4,1988,1007-,"McCormack, H M",Request Finished,42819.305036956015,0033-2917,NA,IBS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1017/S0033291700009934,1,10.1017/S0033291700009934,doi,https://doi.org/10.1017/S0033291700009934,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1017/S0033291700028506,Psychiatric outcome of termination of pregnancy for foetal abnormality.,Psychological medicine.,23,2,1993,407-,"Iles, S",Request Finished,42856.29805420139,0033-2917,NA,EXW,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1017/S0033291700028506,1,10.1017/S0033291700028506,doi,https://doi.org/10.1017/S0033291700028506,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1024/1422-4917/a000306,[The influence of an improvement of body contact on regulato,Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie.,42,5,2014,301-13,Streit U;Nantke S;Jansen F;Wolf K;Gallasch M;Kohlmann T,Request Finished,42846.625023148146,0301-6811,NA,MDUNLM,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1024/1422-4917/a000306,1,10.1024/1422-4917/a000306,doi,https://doi.org/10.1024/1422-4917/a000306,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1037/a0039192,Accessible social media basics for education.,PsycCritiques.,60,19,2015,NA,"Rutledge,",Request Finished,42696.29665795139,1554-0138,NA,NTD,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1037/a0039192,1,10.1037/a0039192,doi,https://doi.org/10.1037/a0039192,NA,NA,NA,NA,oa_not_found
